major_pin,contract_number,region,project_title,project_status,status,bid_opening_date,federal_funding,state_funding,local_funding,type_of_work,public_friendly_description,contract_award_date,contract_award_amount,approved_cost_changes,current_award_amount,estimated_or_actual_completed_date,schedule_performance,cost_performance,in_future_development_start_date,construction_start_date,construction_end_date,construction_amount
081044,,10 LONG ISLAND,PM BRIDGE REPAIR CONTRACT,"Preventative Maintenance Bridge Repairs on BIN # 1018249 Great Neck Rd over NY27 and BIN # 1058780 RMC over OP, Towns of Babylon and Islip, Suffolk County.",Future Development,Fall 2023,Yes,Yes,No,"Bridge: Maintenance: Corrective (JOC, etc.)",This project proposes to repair the following two bridges to help maintain the reliability and integrity of the bridges and thereby assure the continued safety of the traveling public. 1. Great Neck Road (County Road 47) over Sunrise Highway (NYS Route 27,,,,,,,,Spring 2021,Winter 2023/2024,Fall 2024,7700000
081045,,10 LONG ISLAND,GUIDERAIL REHABILITATION,"Repair/replace/upgrade guiderail at:  NSP e/b at Exit 26S New Hyde Park Rd - Install new guiderail at ramp, Glen Cove Rd from Mary Ln to NY107 - Replace box beam guiderail at the median, NY107 from Glen Cove Rd to High Farms Rd - Replace box beam gui",In Development,Summer 2023,No,Yes,No,Guiderail/Median Barrier: Rehab/Improve,"This project proposes to repair/ replace/ upgrade guiderail that are damaged or non-standard at various locations in Nassau and Suffolk Counties. In addition, new sections of the guiderail will be added, if warranted, to ensure the safety of the traveling",,,,,,,,Spring 2021,Summer 2023,Fall 2024,3600000
081046,,10 LONG ISLAND,CRACK SEALING CONTRACT,"Rout & seal asphalt pavement cracks and joint overlay on North Country Road (NY25A) from NY25A Bypass to Wading River Manor Rd, West Main Street (NY25A) from Indian Head Road to Lawrence Road, Montauk Highway (NY27A) from 5th Avenue (CR13) to North O",Future Development,Summer 2022,Yes,Yes,No,Pavement: Crack or Joint Sealing,"This proposed project will apply a preventative maintenance treatment to seal cracks, joint overlays and some limited pavement repair in the pavement to help keep the highway system in a state of good repair on North Country Road (NY25A) from Route 25A By",,,,,,,,Summer 2021,Fall 2022,Fall 2023,4900000
090358,D264329,10 LONG ISLAND,REPUBLIC AIRPORT RUNWAY I-19 RUNWAY SAFETY AREA (RSA) IMPROVEMENTS,Safety improvements to RW 1-19 at Republic Airport; Suffolk County,Under Construction,09/24/2020,Yes,Yes,No,Airport Maintenance Facilities: New/Reconstruction,"This aviation safety area and infrastructure improvement project involves shifting Republic Airport?s Runway 1-19 north by 412 feet and includes new lighting, guidance signs, and pavement markings.",2020-10-26T00:00:00.000,18317822.84,1288361.74,19606184.58,2021-05-01T00:00:00.000,GREEN,YELLOW,,,,
0ADA01,D263970,10 LONG ISLAND,ADA COMPLIANCE CONTRACT,"ADA ramp reconstructions NY25A N/S Line-Bread&Cheese Hollow Rd, NY24 MSP-NY110, NY27 Church Ln-Ocean Rd (south side only), Towns of Babylon, Huntington, Southampton, Hempstead and Oyster Bay, Nassau and Suffolk Counties",Completed Project,07/25/2019,Yes,Yes,No,Pedestrian Facility (Highway): New,This project proposes installing/upgrading of sidewalk curb ramps and repairing/replacement of sidewalk segments to meet current Americans with Disabilities Act and Department standards on the south side of NY27 from Church Lane to Ocean Road in the Town,2019-10-22T00:00:00.000,3326325,0.49,3326325.49,2021-05-27T00:00:00.000,GREEN,GREEN,Winter 2016/2017,,,
0ADA02,D264009,10 LONG ISLAND,ADA COMPLIANCE,Address ADA non compliant curb ramps on federal aid eligible highways in Nassau and Suffolk Counties.,Under Construction,09/12/2019,Yes,Yes,No,Pedestrian Facility (Highway): New,This project proposes replacing/ upgrading of sidewalk curb ramps and repairing/installing of sidewalk segments to meet current American with Disabilities Act and Department standards on various locations in Nassau and Suffolk Counties.  The proposed loca,2020-01-10T00:00:00.000,3926945,4502.32,3931447.32,2021-09-30T00:00:00.000,RED,GREEN,Spring 2017,,,
0BCL21,,10 LONG ISLAND,BRIDGE CLEANING,BRIDGE CLEANING (APPROXIMATELY 210 BRIDGES) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,In Development,Fall 2021,Yes,Yes,No,"Bridge: Maintenance: Cyclical (Washing, Sealing, Cleaning, etc.)",This project proposes to clean various bridges (approximately 210 bridges) in Nassau and Suffolk counties. The bridges are washed every other year in order for the bridges to last for their intended life cycle.,,,,,,,,Summer 2020,Winter 2021/2022,Winter 2023/2024,5100000
0BCL25,,10 LONG ISLAND,BRIDGE CLEANING,BRIDGE CLEANING (LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Future Development,Fall 2025,Yes,Yes,No,"Bridge: Maintenance: Cyclical (Washing, Sealing, Cleaning, etc.)",This proposed project involves the bridge washing for the bridges in Nassau and Suffolk counties. They are washed every other year in order for the bridges to last for their intended life cycle. This project will wash 253 bridges.,,,,,,,,Summer 2024,Winter 2025/2026,Summer 2027,5000000
0BCL27,,10 LONG ISLAND,BRIDGE CLEANING,BRIDGE CLEANING (LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Future Development,Fall 2027,Yes,Yes,No,"Bridge: Maintenance: Cyclical (Washing, Sealing, Cleaning, etc.)",This proposed project involves the bridge washing for the bridges in Nassau and Suffolk counties. They are washed every other year in order for the bridges to last for their intended life cycle. This project will wash 253 bridges.,,,,,,,,Summer 2026,Winter 2027/2028,Summer 2029,5000000
0BCL29,,10 LONG ISLAND,BRIDGE CLEANING,BRIDGE CLEANING (LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Future Development,Fall 2029,Yes,Yes,No,"Bridge: Maintenance: Cyclical (Washing, Sealing, Cleaning, etc.)",This proposed project involves the bridge washing for the bridges in Nassau and Suffolk counties. They are washed every other year in order for the bridges to last for their intended life cycle. This project will wash 253 bridges.,,,,,,,,Summer 2028,Winter 2029/2030,Summer 2031,5000000
0BCL31,,10 LONG ISLAND,BRIDGE CLEANING,BRIDGE CLEANING (LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Future Development,Fall 2031,Yes,Yes,No,"Bridge: Maintenance: Cyclical (Washing, Sealing, Cleaning, etc.)",This proposed project involves the bridge washing for the bridges in Nassau and Suffolk counties. They are washed every other year in order for the bridges to last for their intended life cycle. This project will wash 253 bridges.,,,,,,,,Summer 2030,Winter 2031/2032,Summer 2033,5000000
0BPT22,,10 LONG ISLAND,BRIDGE PAINTING,"Painting and minor steel repairs of 8 bridges to prevent further deterioration of the structural steel components and the paint system in Towns of Babylon, Brookhaven, Hempstead, Huntington, North Hempstead and Southampton, Nassau and Suffolk Countie",In Development,Winter 2021/2022,Yes,Yes,No,Bridge: Painting,"This project proposes painting and minor steel repairs of various bridges to prevent rusting and ensure that the bridges remain safe for travel. The following locations are included in this project: 1. Meadowbrook State Parkway over NY102 (Front Street),",,,,,,,,Spring 2020,Spring 2022,Winter 2022/2023,7100000
0BPT24,,10 LONG ISLAND,BRIDGE PAINTING CONTRACT,"BRIDGE PAINTING, CLEANING, RUST REMOVAL & DISPOSAL",Future Development,Fall 2024,Yes,Yes,No,Bridge: Painting,"Project proposes to clean, paint, and thereby preserve the integrity of bridges, locations to be determined. Nassau and Suffolk Counties.",,,,,,,,Summer 2023,Winter 2024/2025,Fall 2025,7000000
0BPT25,,10 LONG ISLAND,BRIDGE PAINTING CONTRACT,"BRIDGE PAINTING, CLEANING, RUST REMOVAL & DISPOSAL (LOCATIONS TO-BE-DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.",Future Development,Fall 2025,Yes,Yes,No,Bridge: Painting,"Project proposes to clean, paint, and thereby preserve the integrity of bridges, locations to be determined. Nassau and Suffolk Counties.",,,,,,,,Summer 2024,Winter 2025/2026,Fall 2026,7000000
0BPT26,,10 LONG ISLAND,BRIDGE PAINTING CONTRACT,"BRIDGE PAINTING, CLEANING, RUST REMOVAL & DISPOSAL",Future Development,Fall 2026,Yes,Yes,No,Bridge: Painting,"Project proposes to clean, paint, and thereby preserve the integrity of bridges, locations to be determined. Nassau and Suffolk Counties.",,,,,,,,Summer 2025,Winter 2026/2027,Fall 2027,7000000
0BPT27,,10 LONG ISLAND,BRIDGE PAINTING CONTRACT,"BRIDGE PAINTING, CLEANING, RUST REMOVAL & DISPOSAL",Future Development,Fall 2027,Yes,Yes,No,Bridge: Painting,"Project proposes to clean, paint, and thereby preserve the integrity of bridges, locations to be determined. Nassau and Suffolk Counties.",,,,,,,,Summer 2026,Winter 2027/2028,Fall 2028,7000000
0BPT28,,10 LONG ISLAND,BRIDGE PAINTING CONTRACT,"BRIDGE PAINTING, CLEANING, RUST REMOVAL & DISPOSAL",Future Development,Fall 2028,Yes,Yes,No,Bridge: Painting,"Project proposes to clean, paint, and thereby preserve the integrity of bridges, locations to be determined. Nassau and Suffolk Counties.",,,,,,,,Summer 2027,Winter 2028/2029,Fall 2029,7000000
0BPT29,,10 LONG ISLAND,BRIDGE PAINTING CONTRACT,"BRIDGE PAINTING, CLEANING, RUST REMOVAL & DISPOSAL",Future Development,Fall 2029,Yes,Yes,No,Bridge: Painting,"Project proposes to clean, paint, and thereby preserve the integrity of bridges, locations to be determined. Nassau and Suffolk Counties.",,,,,,,,Summer 2028,Winter 2029/2030,Fall 2030,7000000
0BPT30,,10 LONG ISLAND,BRIDGE PAINTING CONTRACT,"BRIDGE PAINTING, CLEANING, RUST REMOVAL & DISPOSAL",Future Development,Fall 2030,Yes,Yes,No,Bridge: Painting,"Project proposes to clean, paint, and thereby preserve the integrity of bridges, locations to be determined. Nassau and Suffolk Counties.",,,,,,,,Summer 2029,Winter 2030/2031,Fall 2031,7000000
0BPT31,,10 LONG ISLAND,BRIDGE PAINTING CONTRACT,"BRIDGE PAINTING, CLEANING, RUST REMOVAL & DISPOSAL",Future Development,Fall 2031,Yes,Yes,No,Bridge: Painting,"Project proposes to clean, paint, and thereby preserve the integrity of bridges, locations to be determined. Nassau and Suffolk Counties.",,,,,,,,Summer 2030,Winter 2031/2032,Fall 2032,7000000
0BWW24,,10 LONG ISLAND,BRIDGE WHERE & WHEN,PROVIDE BRIDGE REPAIRS ON AN AS-NEEDED OR EMERGENCY BASIS ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Future Development,Fall 2024,No,Yes,No,Emergency Response Bridge Repair,This project proposes to provide upgrades to bridge at locations to be determined to maintain their reliability and integrity and help assure the continued safety of the traveling public. Nassau and Suffolk Counties.,,,,,,,,Spring 2023,Fall 2024,Fall 2025,3500000
0BWW26,,10 LONG ISLAND,BRIDGE WHERE & WHEN,PROVIDE BRIDGE REPAIRS ON AN AS-NEEDED OR EMERGENCY BASIS ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Future Development,Fall 2026,No,Yes,No,Emergency Response Bridge Repair,This project proposes to provide upgrades to bridge at locations to be determined to maintain their reliability and integrity and help assure the continued safety of the traveling public. Nassau and Suffolk Counties.,,,,,,,,Spring 2025,Fall 2026,Summer 2028,3500000
0BWW28,,10 LONG ISLAND,BRIDGE WHERE & WHEN,PROVIDE BRIDGE REPAIRS ON AN AS-NEEDED OR EMERGENCY BASIS ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Future Development,Fall 2028,No,Yes,No,Emergency Response Bridge Repair,This project proposes to provide upgrades to bridge at locations to be determined to maintain their reliability and integrity and help assure the continued safety of the traveling public. Nassau and Suffolk Counties.,,,,,,,,Summer 2027,Fall 2028,Summer 2030,3500000
0BWW30,,10 LONG ISLAND,BRIDGE WHERE & WHEN,PROVIDE BRIDGE REPAIRS ON AN AS-NEEDED OR EMERGENCY BASIS ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Future Development,Fall 2030,No,Yes,No,Emergency Response Bridge Repair,This project proposes to provide upgrades to bridge at locations to be determined to maintain their reliability and integrity and help assure the continued safety of the traveling public. Nassau and Suffolk Counties.,,,,,,,,Summer 2029,Fall 2030,Summer 2032,3500000
0DPM20,D264349,10 LONG ISLAND,DURABLE PAVEMENT MARKING,INSTALLATION OF UPGRADED OR REPLACEMENT OF DAMAGED PAVEMENT MARKINGS & PLOWABLE REFLECTIVE MARKERS ON VARIOUS FEDERAL AID ELIGIBLE STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Under Construction,12/03/2020,Yes,Yes,No,Pavement Marking,"This project proposes to upgrade pavement markings along state highways in Nassau and Suffolk Counties. Each roadway is remarked on a three-year cycle to ensure adequate markings are in place. In addition, this project is used to modify existing markings",2021-03-15T00:00:00.000,7889942.32,0,7889942.32,2022-03-08T00:00:00.000,GREEN,GREEN,Fall 2019,,,
0DPM21,,10 LONG ISLAND,DURABLE PAVEMENT MARKING,INSTALLATION OF UPGRADED OR REPLACEMENT OF DAMAGED PAVEMENT MARKINGS & PLOWABLE REFLECTIVE MARKERS ON VARIOUS FEDERAL AID ELIGIBLE STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES,In Development,Fall 2021,Yes,Yes,No,Pavement Marking,This project proposes to upgrade pavement markings along state highways in Nassau and Suffolk County. Each roadway is remarked on a three year cycle to ensure adequate markings are in place.  This project also includes modifying existing markings to addre,,,,,,,,Summer 2020,Winter 2021/2022,Spring 2023,8300000
0DPM23,,10 LONG ISLAND,DURABLE PAVEMENT MARKING,INSTALLATION OF UPGRADED OR REPLACEMENT OF DAMAGED PAVEMENT MARKINGS & PLOWABLE REFLECTIVE MARKERS ON VARIOUS FEDERAL AID ELIGIBLE STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES,Future Development,Fall 2023,Yes,Yes,No,Pavement Marking,"This project proposes to upgrade pavement markings along state highways in Nassau and Suffolk County. Each roadway is remarked on a three year cycle to ensure adequate markings are in place. In addition, this project is used to modify existing markings to",,,,,,,,Summer 2022,Winter 2023/2024,Winter 2024/2025,8500000
0DPM24,,10 LONG ISLAND,DURABLE PAVEMENT MARKING,INSTALLATION OF UPGRADED OR REPLACEMENT OF DAMAGED PAVEMENT MARKINGS & PLOWABLE REFLECTIVE MARKERS ON VARIOUS FEDERAL AID ELIGIBLE STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES,Future Development,Fall 2024,Yes,Yes,No,Pavement Marking,"This project proposes to upgrade pavement markings along state highways in Nassau and Suffolk County. Each roadway is remarked on a three year cycle to ensure adequate markings are in place. In addition, this project is used to modify existing markings to",,,,,,,,Spring 2023,Fall 2024,Fall 2025,8500000
0DPM25,,10 LONG ISLAND,DURABLE PAVEMENT MARKING,INSTALLATION OF UPGRADED OR REPLACEMENT OF DAMAGED PAVEMENT MARKINGS & PLOWABLE REFLECTIVE MARKERS ON VARIOUS FEDERAL AID ELIGIBLE STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES,Future Development,Fall 2025,Yes,Yes,No,Pavement Marking,"This project proposes to upgrade pavement markings along state highways in Nassau and Suffolk County. Each roadway is remarked on a three year cycle to ensure adequate markings are in place. In addition, this project is used to modify existing markings to",,,,,,,,Spring 2024,Fall 2025,Fall 2026,8500000
0DPM26,,10 LONG ISLAND,DURABLE PAVEMENT MARKING,INSTALLATION OF UPGRADED OR REPLACEMENT OF DAMAGED PAVEMENT MARKINGS & PLOWABLE REFLECTIVE MARKERS ON VARIOUS FEDERAL AID ELIGIBLE STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES,Future Development,Fall 2026,Yes,Yes,No,Pavement Marking,"This project proposes to upgrade pavement markings along state highways in Nassau and Suffolk County. Each roadway is remarked on a three year cycle to ensure adequate markings are in place. In addition, this project is used to modify existing markings to",,,,,,,,Spring 2025,Fall 2026,Fall 2027,8500000
0DPM27,,10 LONG ISLAND,DURABLE PAVEMENT MARKING,INSTALLATION OF UPGRADED OR REPLACEMENT OF DAMAGED PAVEMENT MARKINGS & PLOWABLE REFLECTIVE MARKERS ON VARIOUS FEDERAL AID ELIGIBLE STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES,Future Development,Fall 2027,Yes,Yes,No,Pavement Marking,"This project proposes to upgrade pavement markings along state highways in Nassau and Suffolk County. Each roadway is remarked on a three year cycle to ensure adequate markings are in place. In addition, this project is used to modify existing markings to",,,,,,,,Summer 2026,Fall 2027,Fall 2028,8500000
0DPM28,,10 LONG ISLAND,DURABLE PAVEMENT MARKING,INSTALLATION OF UPGRADED OR REPLACEMENT OF DAMAGED PAVEMENT MARKINGS & PLOWABLE REFLECTIVE MARKERS ON VARIOUS FEDERAL AID ELIGIBLE STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES,Future Development,Fall 2028,Yes,Yes,No,Pavement Marking,"This project proposes to upgrade pavement markings along state highways in Nassau and Suffolk County. Each roadway is remarked on a three year cycle to ensure adequate markings are in place. In addition, this project is used to modify existing markings to",,,,,,,,Summer 2027,Fall 2028,Fall 2029,8500000
0DPM29,,10 LONG ISLAND,DURABLE PAVEMENT MARKING,INSTALLATION OF UPGRADED OR REPLACEMENT OF DAMAGED PAVEMENT MARKINGS & PLOWABLE REFLECTIVE MARKERS ON VARIOUS FEDERAL AID ELIGIBLE STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES,Future Development,Fall 2029,Yes,Yes,No,Pavement Marking,"This project proposes to upgrade pavement markings along state highways in Nassau and Suffolk County. Each roadway is remarked on a three year cycle to ensure adequate markings are in place. In addition, this project is used to modify existing markings to",,,,,,,,Summer 2028,Fall 2029,Fall 2030,8500000
0DPM30,,10 LONG ISLAND,DURABLE PAVEMENT MARKING,INSTALLATION OF UPGRADED OR REPLACEMENT OF DAMAGED PAVEMENT MARKINGS & PLOWABLE REFLECTIVE MARKERS ON VARIOUS FEDERAL AID ELIGIBLE STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES,Future Development,Fall 2030,Yes,Yes,No,Pavement Marking,"This project proposes to upgrade pavement markings along state highways in Nassau and Suffolk County. Each roadway is remarked on a three year cycle to ensure adequate markings are in place. In addition, this project is used to modify existing markings to",,,,,,,,Summer 2029,Fall 2030,Fall 2031,8500000
0DPM31,,10 LONG ISLAND,DURABLE PAVEMENT MARKING,INSTALLATION OF UPGRADED OR REPLACEMENT OF DAMAGED PAVEMENT MARKINGS & PLOWABLE REFLECTIVE MARKERS ON VARIOUS FEDERAL AID ELIGIBLE STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES,Future Development,Fall 2031,Yes,Yes,No,Pavement Marking,"This project proposes to upgrade pavement markings along state highways in Nassau and Suffolk County. Each roadway is remarked on a three year cycle to ensure adequate markings are in place. In addition, this project is used to modify existing markings to",,,,,,,,Spring 2030,Fall 2031,Fall 2032,8500000
0PRB22,,10 LONG ISLAND,PARK&RIDE/BKWY/GRAFFITI/TREE TRIMMING,"REMOVAL OR PAINT OVER GRAFITTI, REPAIR NOISE WALLS, TREE TRIMMING, MAINTAIN THE PARK & RIDE LOTS, ALL NYS BIKEWAYS, REST AREAS, FORMER PUBLIC TELEPHONE AREAS ALONG PARKWAYS, PEDESTRIAN BRIDGES, TRUCK STOPS, PARKING AREAS, WEIGH STATIONS, TRUCK INSPEC",In Development,Summer 2022,No,Yes,No,Other,"This project proposes to maintain park and ride lots, bikeways, pedestrian bridges, parking areas, rest areas, weigh stations, truck stops, truck inspection areas, former public telephone areas along parkways, bus shelters, remove or paint over graffiti,",,,,,,,,Spring 2021,Fall 2022,Fall 2024,3900000
0PRB28,,10 LONG ISLAND,PARK&RIDE/BKWY/GRAFFITI/TREE TRIMMING,"REMOVAL OR PAINT OVER OF GRAFITTI, REPAIR NOISE WALLS, TREE TRIMMING, MAINTAIN THE 7 PARK & RIDE LOTS ALONG I495, ALL NYS BIKEWAYS, REST AREAS, PUBLIC TELEPHONE AREAS ALONG PARKWAYS & BUS SHELTERS ON NYS RIGHT-OF-WAY NASSAU AND SUFFOLK COUNTIES.",Future Development,Summer 2028,No,Yes,No,Other,"This project proposes to remove or paint over of graffiti, repair noise walls, maintain the 7 park and ride lots along I495, bikeways, rest areas, public telephone areas along parkways and bus shelters in Nassau and Suffolk Counties.",,,,,,,,Spring 2027,Fall 2028,Spring 2030,4000000
0PRB30,,10 LONG ISLAND,PARK&RIDE/BKWY/GRAFFITI/TREE TRIMMING,"REMOVAL OR PAINT OVER OF GRAFITTI, REPAIR NOISE WALLS, TREE TRIMMING, MAINTAIN THE 7 PARK & RIDE LOTS ALONG I495, ALL NYS BIKEWAYS, REST AREAS, PUBLIC TELEPHONE AREAS ALONG PARKWAYS & BUS SHELTERS ON NYS RIGHT-OF-WAY NASSAU AND SUFFOLK COUNTIES.",Future Development,Summer 2030,No,Yes,No,Other,"This project proposes to remove or paint over of graffiti, repair noise walls, maintain the 7 park and ride lots along I495, bikeways, rest areas, public telephone areas along parkways and bus shelters in Nassau and Suffolk Counties.",,,,,,,,Spring 2029,Fall 2030,Spring 2032,4000000
0RWW22,,10 LONG ISLAND,Regional Where & When Contract,Respond to emergencies and repairs on an as needed basis where an immediate response is required to ensure the safety of the public (locations to be determined) on various state highways & parkways in Nassau & Suffolk counties.,In Development,Fall 2022,No,Yes,No,Emergency Response Highway,This project proposes to provide for the emergency type maintenance/ repair of roads located throughout Nassau and Suffolk Counties on an as needed basis where an immediate response is needed to ensure the safety of the public.,,,,,,,,Summer 2021,Winter 2022/2023,Winter 2024/2025,7700000
0RWW28,,10 LONG ISLAND,REGIONAL WHERE & WHEN CONTRACT,RESPOND TO EMERGENCIES AND REPAIRS ON AN AS NEEDED BASIS WHERE AN IMMEDIATE RESPONSE IS REQUIRED TO ENSURE THE SAFETY OF THE PUBLIC (LOCATIONS TO BE DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Future Development,Summer 2028,No,Yes,No,Emergency Response Highway,This project proposes to provide for the emergency repair of roads located throughout Nassau and Suffolk Counties on an as needed basis where an immediate response is needed to ensure the safety of the public.,,,,,,,,Spring 2027,Fall 2028,Spring 2030,7500000
0RWW30,,10 LONG ISLAND,REGIONAL WHERE AND WHEN CONTRACT,RESPOND TO EMERGENCIES AND REPAIRS ON AN AS NEEDED BASIS WHERE AN IMMEDIATE RESPONSE IS REQUIRED TO ENSURE THE SAFETY OF THE PUBLIC (LOCATIONS TO BE DETERMINED) ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Future Development,Summer 2030,No,Yes,No,Emergency Response Highway,This project proposes to provide for the emergency repair of roads located throughout Nassau and Suffolk Counties on an as needed basis where an immediate response is needed to ensure the safety of the public.,,,,,,,,Spring 2029,Fall 2030,Spring 2032,7500000
0SGN27,,10 LONG ISLAND,SIGN REQUIREMENTS,SIGN REPAIRS & INSTALLATIONS ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES,Future Development,Summer 2027,Yes,Yes,No,Traffic Signs,"This project proposes to replace and repair signs that are worn or damaged along state highways in Nassau and Suffolk County. Furthermore, this project can install new signs to address safety and operational problems that are identified",,,,,,,,Spring 2026,Fall 2027,Spring 2029,3700000
0SGN29,,10 LONG ISLAND,SIGN REQUIREMENTS,SIGN REPAIRS & INSTALLATIONS ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES,Future Development,Summer 2029,Yes,Yes,No,Traffic Signs,"This project proposes to replace and repair signs that are worn or damaged along state highways in Nassau and Suffolk County. Furthermore, this project can install new signs to address safety and operational problems that are identified",,,,,,,,Spring 2028,Fall 2029,Spring 2031,3700000
0SGN31,,10 LONG ISLAND,SIGN REQUIREMENTS,SIGN REPAIRS & INSTALLATIONS ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES,Future Development,Summer 2031,Yes,Yes,No,Traffic Signs,"This project proposes to replace and repair signs that are worn or damaged along state highways in Nassau and Suffolk County. Furthermore, this project can install new signs to address safety and operational problems that are identified",,,,,,,,Spring 2030,Fall 2031,Spring 2033,3700000
0SLR22,,10 LONG ISLAND,TRAFFIC SIGNAL & LIGHTING REQUIREMENTS,"Replace or upgrade signals and/or appurtenances & install new signals, repair or replace lighting systems and appurtenances on various federal aid eligible state highways in Nassau & Suffolk counties",In Development,Spring 2022,Yes,Yes,No,Traffic Signals: Devices/Coordination,"This project proposes to rebuild, upgrade and install traffic signals and repair or replace lighting systems and appurtenances along state highways in Nassau and Suffolk County. Locations are selected based on the need to address safety concerns and to im",,,,,,,,Spring 2021,Summer 2022,Winter 2023/2024,4200000
0SLR23,,10 LONG ISLAND,TRAFFIC SIGNAL & LIGHTING REQUIREMENTS,"Replace or upgrade signals and/or appurtenances & install new signals, repair or replace lighting systems and appurtenances on various federal aid eligible state highways in Nassau & Suffolk counties.",Future Development,Spring 2023,Yes,Yes,No,Traffic Signals: Devices/Coordination,"This project proposes to rebuild, upgrade and install traffic signals and repair or replace lighting systems and appurtenances along state highways in Nassau and Suffolk County. Locations are selected based on the need to address safety concerns and to im",,,,,,,,Winter 2021/2022,Summer 2023,Summer 2024,3400000
0SLR24,,10 LONG ISLAND,TRAFFIC SIGNAL & LIGHTING REQUIREMENTS,"Replace or upgrade signals and/or appurtenances & install new signals, repair or replace lighting systems and appurtenances on various federal aid eligible state highways in Nassau & Suffolk counties.",Future Development,Spring 2024,Yes,Yes,No,Traffic Signals: Devices/Coordination,"This project proposes to rebuild, upgrade and install traffic signals and repair or replace lighting systems and appurtenances along state highways in Nassau and Suffolk County. Locations are selected based on the need to address safety concerns and to im",,,,,,,,Summer 2022,Summer 2024,Winter 2024/2025,3500000
0SLR25,,10 LONG ISLAND,TRAFFIC SIGNAL & LIGHTING REQUIREMENTS,"Replace or upgrade signals and/or appurtenances & install new signals, repair or replace lighting systems and appurtenances on various federal aid eligible state highways in Nassau & Suffolk counties",Future Development,Spring 2025,Yes,Yes,No,Traffic Signals: Devices/Coordination,"This project proposes to rebuild, upgrade and install traffic signals and repair or replace lighting systems and appurtenances along state highways in Nassau and Suffolk County. Locations are selected based on the need to address safety concerns and to im",,,,,,,,Fall 2023,Summer 2025,Spring 2026,4000000
0SLR26,,10 LONG ISLAND,TRAFFIC SIGNAL & LIGHTING REQUIREMENTS,"Replace or upgrade signals and/or appurtenances & install new signals, repair or replace lighting systems and appurtenances on various federal aid eligible state highways in Nassau & Suffolk counties",Future Development,Spring 2026,Yes,Yes,No,Traffic Signals: Devices/Coordination,"This project proposes to rebuild, upgrade and install traffic signals and repair or replace lighting systems and appurtenances along state highways in Nassau and Suffolk County. Locations are selected based on the need to address safety concerns and to im",,,,,,,,Spring 2024,Summer 2026,Spring 2027,4000000
0SLR27,,10 LONG ISLAND,TRAFFIC SIGNAL & LIGHTING REQUIREMENTS,"Replace or upgrade signals and/or appurtenances & install new signals, repair or replace lighting systems and appurtenances on various federal aid eligible state highways in Nassau & Suffolk counties",Future Development,Spring 2027,Yes,Yes,No,Traffic Signals: Devices/Coordination,"This project proposes to rebuild, upgrade and install traffic signals and repair or replace lighting systems and appurtenances along state highways in Nassau and Suffolk County. Locations are selected based on the need to address safety concerns and to im",,,,,,,,Spring 2025,Summer 2027,Spring 2028,4000000
